,name,type,meet_count,meet_ratio,total_count,meet_codes
72,新型工业化,concept,70,0.315,222,"688090,001339,300484,833284,001223,300378,603496,688155,603325,002925,603966,300830,300173,300768,002248,002892,300195,300825,600843,603088,603135,603273,603933,300166,601608,300466,688097,002526,002957,300823,000584,600355,002212,300400,002903,300532,300456,603206,688657,688128,688420,300687,300433,002122,839680,002236,301338,300461,600845,301512,688499,301312,688618,300678,688218,835305,300607,001266,603666,688162,688060,831832,688559,688777,688083,601689,301086,837092,603019,688017"
73,星闪概念,concept,23,0.329,70,"872374,300552,603160,300184,300079,600733,002456,300207,000851,688039,688609,600839,832149,002236,002405,688288,688159,688259,688618,688653,872190,301578,688049"
74,光刻机,concept,9,0.273,33,"300990,600850,003031,603005,688167,300293,300456,688409,688195"
75,BC电池,concept,7,0.175,40,"300776,688560,002079,002056,300724,839167,688559"
76,减肥药,concept,7,0.149,47,"301166,300404,600380,000739,688690,832735,300199"
77,算力租赁,concept,57,0.514,111,"002657,300081,002354,002575,000938,603602,300113,301259,002232,600633,603636,000712,688685,300173,300472,600186,300168,603110,002229,300895,000977,839493,837092,301085,300921,603019,002197,300067,600996,603000,300536,601789,300688,300608,300846,600986,600589,000925,688158,300603,838924,300056,688327,603220,300798,688343,603985,688051,002771,300383,300042,688316,300052,301178,300825,600100,300166"
78,空间计算,concept,27,0.562,48,"300935,301302,300766,300081,603466,301027,603357,301172,301218,300264,301178,600640,300616,300134,603189,300989,300284,600728,301512,301390,301312,300036,688651,300578,000925,835207,605289"
79,阿尔茨海默概念,concept,5,0.167,30,"301130,000766,002675,300016,300404"
80,核污染防治,concept,8,0.17,47,"301302,300489,603308,688056,300523,600100,300337,688628"
81,生态农业,concept,4,0.077,52,"600354,002311,002539,603276"
82,特钢概念,concept,3,0.097,31,"603191,300881,688786"
83,期货概念,concept,15,0.208,72,"603093,002657,000712,000958,601878,600120,600030,601555,002673,601688,002939,600704,601696,601162,601108"
84,猪肉,concept,2,0.065,31,"000702,002311"
